Date,Volume,SP_close,DJ_close,EG_close,USDI_Price,EU_Price,SF_Price,PLT_Price,PLD_Price,USO_Close,GDX_Close,RHO_PRICE,Close
2011-12-15,21521900,122.18,11868.80957,72.900002,80.341,1.3018,53604,1414.65,618.85,36.130001,51.68,1425,152.330002
2011-12-16,18124300,121.589996,11866.38965,74.900002,80.249,1.3035,53458,1420.25,623.65,36.27,52.68,1400,155.229996
2011-12-19,12547200,120.290001,11766.25977,64.699997,80.207,1.2995,52961,1411.1,608.8,36.200001,51.169998,1400,154.869995
2011-12-20,9136300,123.93,12103.58008,67,80.273,1.3079,53487,1434.75,626.65,37.560001,52.990002,1400,156.979996
2011-12-21,11996100,124.169998,12107.74023,68.5,80.35,1.3045,53148,1429.05,635.9,38.110001,52.959999,1400,157.160004
2011-12-22,9888400,125.269997,12169.65039,69.75,80.306,1.3051,52894,1425.9,652.45,38.279999,52.400002,1400,156.039993
2011-12-23,3565100,126.389999,12294,71.599998,80.236,1.3043,53067,1426.45,665.55,38.490002,52.790001,1400,156.309998
2011-12-27,4918600,126.489998,12291.34961,67.650002,80.135,1.3068,52711,1438.55,663,39.060001,51.869999,1400,154.910004
2011-12-28,16436100,124.830002,12151.41016,66.699997,80.883,1.2936,50636,1386.8,638.8,38.34,50.060001,1400,151.029999
2011-12-29,19812200,126.120003,12287.04004,67.75,80.911,1.2962,50218,1379,631.6,38.41,51.200001,1400,150.339996
2011-12-30,10852700,125.5,12217.55957,68.550003,80.522,1.2948,51445,1403.25,656.3,38.110001,51.43,1400,151.990005
2012-01-03,13385800,127.5,12397.37988,73.699997,79.912,1.3051,53109,1436.2,664.8,39.689999,53.799999,1400,155.919998
2012-01-04,11549700,127.699997,12418.41992,73.099998,80.425,1.2942,52761,1426.05,649.9,39.77,53.740002,1400,156.710007
2012-01-05,11621600,128.039993,12415.7002,73.199997,81.25,1.278,52740,1421.25,640.4,39.169998,53.900002,1375,157.779999
2012-01-06,9790500,127.709999,12359.91992,71.949997,81.597,1.2721,51868,1406.55,616.1,39.220001,53.349998,1375,157.199997
2012-01-09,8771900,128.020004,12392.69043,71.949997,81.388,1.2767,51749,1426.15,620,39.080002,53.650002,1350,156.5
2012-01-10,8371400,129.130005,12462.46973,71.849998,81.101,1.2772,52566,1467.1,636.9,39.34,54.470001,1350,158.639999
2012-01-11,7968500,129.199997,12449.4502,71.699997,81.614,1.2704,52607,1499.55,643.6,38.919998,54.310001,1350,159.669998
2012-01-12,8602500,129.509995,12471.01953,70.650002,81.036,1.2826,52770,1498.95,635.1,38.060001,54.720001,1350,160.380005
2012-01-13,8910300,128.839996,12422.05957,70,81.791,1.2677,52001,1493.45,639.8,38.16,54.049999,1375,159.259995
